B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
B1	336	17	116	2	5	1	75	5	25	26	1	0	1	9	12	0	5	0	16	83	2	146	57	31	1	7	38	43	0	0	0	298	51	0	166	50	5	17	3	3	0	2	19	0	0	0	2	65	9	79	0	32	5	2	3	18	82	0	0	1	5	1	31	59	0	14	51
B2	17	4	5	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	2	0	1	2	2	0	0	1	1	0	0	0	7	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1
CD4_1	116	5	878	7	17	18	420	24	127	175	1	6	21	35	62	5	29	2	155	608	5	1497	165	451	8	23	428	248	0	2	1	1905	227	0	1351	295	29	116	15	30	6	6	132	4	0	0	32	480	103	445	2	129	12	7	42	138	740	3	1	23	207	45	167	338	2	55	273
CD4_2	2	0	7	0	0	0	4	0	0	1	1	0	0	0	1	0	0	0	1	5	1	3	3	0	1	0	1	4	0	0	0	25	5	0	13	2	0	3	0	0	0	0	1	0	0	0	0	5	0	3	0	2	0	0	0	0	5	0	0	0	0	0	5	6	0	0	0
CD4_3	5	0	17	0	4	0	2	0	1	0	0	1	1	1	1	0	0	0	2	10	0	11	7	5	0	7	2	3	0	0	0	21	0	0	18	1	0	0	0	0	0	0	5	0	0	0	0	12	1	6	0	4	1	0	0	0	5	0	0	0	1	0	1	2	0	1	6
CD4_4	1	0	18	0	0	0	6	3	0	3	0	1	1	0	0	0	1	0	11	18	0	72	3	34	0	0	31	2	0	0	0	40	5	0	50	1	0	1	0	0	0	1	1	0	0	0	0	4	0	5	0	0	0	0	0	2	32	1	0	2	21	2	9	8	0	2	5
CD45_1	75	1	420	4	2	6	402	22	76	99	5	2	12	37	38	11	10	1	126	362	1	1395	130	424	1	58	452	197	1	1	1	1509	182	0	1090	191	18	64	6	12	3	5	101	2	0	0	26	335	74	350	0	108	15	7	56	112	657	1	0	28	199	27	178	286	1	32	184
CD45_2	5	0	24	0	0	3	22	24	4	17	0	0	5	4	9	0	0	0	21	85	2	384	24	379	3	3	180	19	0	2	0	196	9	0	142	16	1	4	0	3	0	1	4	1	0	0	0	17	11	19	2	4	7	5	9	50	339	2	0	12	208	2	60	30	1	3	15
CD8_1	25	1	127	0	1	0	76	4	56	36	0	4	3	7	5	1	2	1	20	53	0	225	17	35	0	0	40	18	1	0	0	276	48	0	230	41	4	18	2	1	1	1	15	0	0	0	8	69	12	82	0	23	2	2	7	21	60	0	0	2	24	3	21	64	0	8	46
CD8_2	26	0	175	1	0	3	99	17	36	72	0	2	17	17	19	1	2	3	58	167	1	669	31	295	3	22	215	72	0	1	3	518	43	0	437	78	15	26	3	5	2	0	32	1	0	0	11	117	23	120	0	37	10	5	8	75	340	0	2	18	155	14	78	117	0	6	82
CD8_3	1	0	1	1	0	0	5	0	0	0	12	0	1	0	0	1	0	0	3	3	0	72	0	17	0	0	13	6	0	0	0	28	0	0	13	3	0	2	0	0	0	0	0	0	0	0	0	8	5	1	2	1	2	0	0	10	30	0	0	0	12	1	1	9	6	1	0
CD8_4	0	0	6	0	1	1	2	0	4	2	0	0	0	0	0	0	1	1	2	1	0	28	1	8	0	0	5	0	0	0	0	5	1	0	16	1	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	1	9	1	0	0	3	1	1	0	0	1	7
CD8_5	1	0	21	0	1	1	12	5	3	17	1	0	24	1	2	1	0	0	37	19	1	412	1	131	1	19	82	2	0	0	0	51	3	0	152	13	1	2	0	0	0	0	1	0	0	0	0	6	4	14	0	4	5	1	1	26	90	0	0	7	65	20	16	9	0	5	12
CD8_6	9	1	35	0	1	0	37	4	7	17	0	0	1	2	5	1	3	1	15	34	0	164	14	38	0	11	30	27	0	0	0	208	22	0	122	28	2	16	0	2	1	0	14	1	0	0	0	61	24	48	0	20	4	1	5	11	75	2	1	0	17	4	31	31	0	3	19
DC1	12	0	62	1	1	0	38	9	5	19	0	0	2	5	92	3	6	0	24	113	1	248	58	139	4	4	103	143	0	0	0	382	27	0	143	49	4	31	0	12	1	2	30	0	0	0	8	89	20	55	0	22	4	5	13	36	328	2	0	8	96	2	65	103	1	3	43
