B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
B1	40	0	98	3	2	0	54	2	6	14	0	0	0	11	1	0	0	2	30	93	0	118	17	3	0	5	18	23	1	0	1	245	30	0	184	48	5	10	3	1	2	1	28	1	0	0	5	114	23	51	1	14	3	0	10	17	122	0	0	0	12	9	37	80	0	0	5
B2	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	17	2	0	8	5	0	1	0	1	0	0	1	0	0	0	1	3	0	1	0	1	0	0	1	0	4	0	0	0	0	0	4	6	0	0	0
CD4_1	98	5	672	7	10	0	426	11	48	123	8	0	2	70	9	5	9	6	284	569	1	1655	37	49	2	2	221	62	1	2	6	1731	207	1	1978	376	67	22	28	14	2	2	233	12	0	0	60	876	283	518	1	95	9	2	89	244	743	0	1	25	59	77	240	386	7	3	150
CD4_2	3	0	7	0	0	0	9	0	0	1	0	0	0	3	0	0	0	0	1	4	0	6	0	0	0	0	5	1	0	0	0	52	5	0	12	3	0	0	0	1	0	0	3	0	0	0	0	3	1	2	0	0	0	0	1	1	6	0	0	0	1	0	8	14	0	0	1
CD4_3	2	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	10	0	3	0	0	0	1	0	0	0	0	0	11	3	0	16	10	0	0	0	0	0	0	0	0	0	0	0	11	2	6	0	3	1	0	0	2	5	0	0	0	0	0	3	3	0	0	0
CD4_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	2
CD45_1	54	3	426	9	2	0	552	6	39	93	6	0	3	94	18	5	4	3	362	520	0	2640	59	74	1	11	583	62	5	13	18	1937	195	8	2325	331	79	25	18	13	4	5	354	30	3	1	61	1601	581	502	6	73	4	4	182	445	1185	0	0	33	90	142	319	467	5	4	84
CD45_2	2	0	11	0	0	0	6	6	2	7	3	0	0	4	2	0	1	0	7	10	0	312	1	46	1	0	19	1	0	0	1	32	7	0	82	6	0	1	0	0	0	0	0	1	0	0	0	6	6	8	1	4	0	1	2	25	87	0	0	9	34	17	9	10	0	1	7
CD8_1	6	0	48	0	0	0	39	2	12	5	0	0	0	5	0	0	1	0	19	30	0	106	1	6	0	0	14	7	0	0	1	126	12	1	183	35	2	2	0	1	0	0	6	0	0	0	0	47	20	21	0	10	0	0	6	26	50	0	0	1	7	3	24	34	1	0	14
CD8_2	14	0	123	1	0	0	93	7	5	44	4	0	2	21	3	2	1	1	127	116	0	902	9	51	0	1	70	20	1	0	13	449	55	3	576	86	16	6	4	7	1	1	51	6	0	2	7	188	101	100	1	16	3	2	32	116	329	0	0	25	65	52	68	115	5	1	27
CD8_3	0	0	8	0	0	0	6	3	0	4	34	0	0	4	1	0	0	0	19	19	0	522	1	24	0	0	17	1	0	0	3	70	4	0	151	14	5	1	2	0	0	0	24	1	0	0	4	66	69	11	6	4	0	0	15	100	135	0	1	22	30	42	14	20	17	0	1
CD8_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CD8_5	0	0	2	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	2	3	0	61	0	11	0	0	1	0	0	0	0	5	1	0	27	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	9	13	0	0	2	5	6	2	1	0	0	2
