B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
B1	10	0	12	0	1	1	11	5	1	4	0	0	2	1	8	0	0	0	18	23	0	70	4	14	1	0	6	19	0	0	1	56	7	0	149	5	3	1	4	0	0	0	8	0	0	0	2	21	10	17	0	0	0	0	0	16	35	0	0	0	12	5	11	9	0	2	6
B2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	2	0	1	0	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CD4_1	12	0	220	0	2	26	150	79	29	53	2	3	22	26	12	0	4	2	141	149	1	758	37	109	3	0	56	101	0	0	9	644	46	0	1538	112	40	43	14	2	2	1	78	9	0	1	14	255	120	258	0	20	3	0	29	130	301	1	2	10	86	63	76	176	5	28	76
CD4_2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	13	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	3	0	4	0	0	0
CD4_3	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	7	0	0	0	1	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
CD4_4	1	0	26	2	0	16	16	20	1	3	0	0	10	7	2	0	1	0	40	16	0	169	0	41	2	0	7	6	0	0	1	89	6	0	350	21	1	4	3	0	0	0	3	0	0	0	0	15	14	60	0	8	0	0	3	21	59	0	0	4	35	17	18	20	0	7	9
CD45_1	11	0	150	1	0	16	200	62	15	36	4	3	18	22	16	0	5	0	136	175	8	910	23	124	2	0	69	80	0	0	7	647	40	0	1509	96	42	37	14	4	1	4	99	12	0	0	13	218	128	270	0	25	1	4	19	113	331	2	1	17	84	54	101	170	2	8	48
CD45_2	5	0	79	0	0	20	62	170	5	20	3	2	31	21	8	1	1	1	77	57	4	560	6	273	1	1	20	30	0	0	5	215	10	0	1285	46	3	7	21	1	0	1	7	4	0	0	2	52	34	123	0	19	1	5	5	63	239	2	5	16	139	38	36	70	2	23	30
CD8_1	1	0	29	0	0	1	15	5	2	5	0	0	3	0	1	0	0	0	11	26	1	72	2	14	1	0	5	10	0	0	1	36	4	0	108	7	4	5	1	0	0	0	7	1	0	0	3	29	10	20	0	1	0	0	4	10	28	0	0	1	18	3	13	14	0	3	6
CD8_2	4	1	53	0	0	3	36	20	5	24	2	0	7	7	3	0	0	1	37	35	0	175	3	29	0	0	12	23	0	1	7	103	2	0	304	26	4	6	10	1	0	0	16	1	0	0	2	29	25	59	0	5	0	0	5	36	98	1	1	3	15	15	14	32	1	2	14
