B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
B1	390	4	114	1	1	16	132	43	18	44	1	1	16	33	5	0	0	0	90	32	1	465	7	80	2	0	31	0	0	1	8	627	46	0	1013	73	18	4	7	0	0	1	27	3	0	0	2	107	58	94	0	18	5	2	6	24	132	2	0	2	18	51	133	80	0	14	55
B2	4	0	3	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	3	1	0	11	0	3	0	0	0	2	0	0	0	15	4	0	16	2	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0
CD4_1	114	3	598	0	2	122	280	143	70	164	32	25	120	101	11	0	1	0	427	130	1	2874	8	299	8	0	105	15	4	2	30	1704	81	4	5081	309	98	27	41	2	2	0	180	24	0	4	19	622	550	429	3	89	6	5	25	143	554	1	2	8	66	226	335	192	2	92	153
CD4_2	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	7	1	0	5	1	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0
CD4_3	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	3	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4_4	16	0	122	0	0	78	65	57	22	56	8	12	45	12	5	1	2	0	88	21	1	730	2	142	1	0	32	2	1	0	3	327	13	1	1552	60	6	8	11	0	0	0	9	3	0	1	0	58	43	87	1	19	1	2	2	31	140	0	8	2	31	51	82	35	0	23	32
CD45_1	132	4	280	1	0	65	260	103	32	118	18	7	70	66	14	0	1	0	261	67	0	1777	9	193	6	1	89	9	3	0	16	1251	86	2	3316	197	87	19	20	5	2	1	128	26	0	1	20	415	354	331	6	48	3	2	16	81	333	1	3	0	37	95	251	185	2	34	93
CD45_2	43	1	143	1	1	57	103	166	31	84	4	10	73	38	3	1	0	0	127	29	1	1163	2	234	0	0	50	5	1	1	17	591	24	1	2359	78	20	10	21	2	3	0	21	7	0	1	2	81	91	148	3	37	0	2	4	28	196	0	6	3	38	79	161	54	0	49	36
CD8_1	18	0	70	0	0	22	32	31	20	21	3	5	24	10	0	1	0	1	41	8	0	271	0	39	0	0	5	1	1	1	5	163	6	1	559	33	6	1	4	0	1	0	19	0	0	0	1	55	44	44	0	12	1	1	5	15	80	2	0	0	11	20	35	13	0	9	14
CD8_2	44	1	164	1	1	56	118	84	21	140	14	15	74	30	7	1	3	0	209	48	0	1151	9	136	2	0	77	10	0	0	14	734	25	3	2175	127	48	9	15	3	1	0	83	17	0	1	7	253	220	182	5	27	1	3	16	69	280	2	4	3	43	84	137	112	0	25	44
CD8_3	1	0	32	0	0	8	18	4	3	14	158	1	4	7	0	0	0	0	15	1	0	337	0	22	1	0	4	0	0	0	1	100	2	2	458	18	7	0	3	1	1	0	11	5	0	0	1	33	37	35	11	1	0	1	2	15	40	1	1	0	4	31	23	7	11	1	3
CD8_4	1	0	25	0	0	12	7	10	5	15	1	8	11	2	0	0	0	0	8	1	0	87	0	16	0	0	3	1	0	0	1	25	1	0	212	10	2	0	1	0	0	0	2	0	0	0	0	2	4	7	0	2	0	0	0	7	11	0	0	0	5	8	4	4	0	9	5
CD8_5	16	0	120	0	0	45	70	73	24	74	4	11	72	28	3	0	0	1	88	20	0	844	3	173	4	0	33	5	1	1	9	438	13	0	1660	62	11	8	7	0	0	0	17	0	0	0	2	67	55	134	3	22	2	5	2	33	200	2	3	2	35	63	124	45	2	36	32
CD8_6	33	0	101	1	0	12	66	38	10	30	7	2	28	50	1	1	2	0	86	25	0	725	0	59	3	0	27	1	2	1	2	454	36	0	1210	63	37	2	11	0	2	0	43	8	0	1	3	199	189	117	0	33	1	1	18	28	131	0	2	1	13	32	86	64	0	18	30
DC1	5	0	11	0	0	5	14	3	0	7	0	0	3	1	2	0	0	0	16	4	0	88	0	12	0	0	2	0	0	0	0	40	1	0	139	8	4	3	1	0	0	0	1	0	0	0	0	23	17	7	1	1	0	0	2	4	19	0	0	0	1	11	11	8	1	2	3
DC2	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	2	0	0	24	0	0	0	0	1	1	0	0	0	5	1	0	16	0	0	0	0	0	0	0	2	0	0	0	0	7	4	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0
DC3	0	0	1	0	0	2	1	0	0	3	0	0	0	2	0	0	4	0	2	0	0	24	1	1	0	0	1	2	0	0	1	22	0	0	34	0	0	0	0	0	0	0	1	0	0	0	0	2	0	5	0	1	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0
DC4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	11	0	1	0	0	2	0	0	0	0	7	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	0	0	0	0	0	0	5	0	0	0	0	0	2	1	0	0	1
E1	90	3	427	2	2	88	261	127	41	209	15	8	88	86	16	2	2	1	2430	285	4	2090	15	318	4	0	157	21	6	0	27	1294	68	2	6412	359	78	21	44	9	12	0	218	24	0	3	16	649	532	449	3	92	1	7	31	97	652	1	7	3	53	181	434	117	4	59	136
E2	32	1	130	0	0	21	67	29	8	48	1	1	20	25	4	0	0	0	285	426	5	583	2	86	3	0	34	7	1	0	4	326	16	1	1433	136	40	4	6	0	1	0	96	7	0	0	4	315	257	101	0	12	2	3	9	21	156	2	3	0	19	59	160	33	1	12	37
E3	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	5	0	9	0	1	0	0	0	0	0	0	0	2	0	0	35	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	1	1	0	0	0	1
M1	465	11	2874	1	0	730	1777	1163	271	1151	337	87	844	725	88	24	24	11	2090	583	9	80154	90	3185	46	3	1294	60	159	2	835	16166	393	42	49205	1560	1069	100	217	11	25	8	1671	488	0	44	146	4733	6771	2792	21	530	10	41	333	1854	5116	5	91	41	463	6803	3573	1855	63	581	790
M10	7	0	8	0	1	2	9	2	0	9	0	0	3	0	0	0	1	0	15	2	0	90	4	10	0	0	6	3	0	0	2	91	1	0	148	13	2	2	3	1	2	1	3	1	0	0	1	16	13	22	0	2	0	1	0	3	37	0	0	0	1	10	20	7	0	2	0
M11	80	3	299	1	0	142	193	234	39	136	22	16	173	59	12	0	1	1	318	86	1	3185	10	716	9	0	135	9	3	3	34	1594	51	2	4820	168	26	19	34	0	6	0	52	15	0	0	4	154	162	258	2	71	0	14	13	90	475	3	13	9	108	275	465	143	4	67	113
M12	2	0	8	0	0	1	6	0	0	2	1	0	4	3	0	0	0	0	4	3	0	46	0	9	2	0	4	0	0	0	0	115	5	0	63	4	2	1	0	0	0	0	3	0	0	0	0	4	2	3	0	0	0	0	0	0	13	0	0	0	2	2	20	7	0	2	2
M13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M2	31	0	105	0	0	32	89	50	5	77	4	3	33	27	2	1	1	2	157	34	0	1294	6	135	4	1	148	10	3	0	7	885	27	0	1515	77	22	5	17	1	4	1	57	9	0	0	5	189	160	135	0	25	0	0	12	37	273	0	2	1	19	83	249	94	1	9	35
M3	0	2	15	0	0	2	9	5	1	10	0	1	5	1	0	1	2	0	21	7	0	60	3	9	0	0	10	8	0	0	3	170	7	0	78	6	0	4	2	0	0	0	3	0	0	0	2	22	4	23	1	3	0	1	0	6	56	0	0	1	2	10	22	9	0	2	2
M4	0	0	4	0	0	1	3	1	1	0	0	0	1	2	0	0	0	0	6	1	0	159	0	3	0	0	3	0	10	0	2	83	0	0	110	6	4	0	0	0	0	0	11	2	0	1	0	47	56	7	0	2	0	1	1	6	13	0	0	0	1	8	4	13	1	3	1
M5	1	0	2	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	5	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0
M6	8	0	30	0	0	3	16	17	5	14	1	1	9	2	0	0	1	0	27	4	0	835	2	34	0	0	7	3	2	0	40	329	8	0	500	23	7	0	5	0	0	0	12	0	0	0	1	45	71	31	0	9	0	1	3	26	71	0	0	0	3	82	35	37	2	2	8
M7	627	15	1704	7	3	327	1251	591	163	734	100	25	438	454	40	5	22	7	1294	326	2	16166	91	1594	115	3	885	170	83	5	329	26896	884	7	19947	1262	453	163	542	39	67	9	914	133	0	30	264	3002	2466	1920	16	324	14	31	141	593	4113	10	16	22	263	741	2705	2241	27	224	634
M8	46	4	81	1	0	13	86	24	6	25	2	1	13	36	1	1	0	1	68	16	0	393	1	51	5	0	27	7	0	1	8	884	82	0	709	56	25	3	11	0	1	0	43	7	0	0	12	178	105	109	0	18	1	1	4	24	101	1	1	1	16	20	84	118	0	17	42
M9	0	0	4	0	0	1	2	1	1	3	2	0	0	0	0	0	0	0	2	1	0	42	0	2	0	0	0	0	0	0	0	7	0	0	45	0	4	0	0	0	0	0	5	2	0	1	1	11	28	5	0	0	0	0	0	2	6	0	0	0	0	3	0	2	0	0	1
