B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
B1	32	0	11	0	0	0	9	3	1	8	0	0	1	0	2	0	2	0	10	20	1	51	6	11	0	0	16	9	0	0	0	73	6	0	50	6	3	6	0	1	0	0	6	0	0	0	3	26	6	22	0	4	0	0	3	5	53	0	0	0	5	1	22	21	1	5	13
B2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	5	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	1	0	3	1	0	0	1
CD4_1	11	1	190	4	3	23	102	49	10	37	2	0	10	27	18	0	2	0	139	267	8	543	49	137	5	0	78	84	0	0	0	714	68	1	628	93	28	46	3	7	6	0	50	2	0	0	21	284	69	131	0	16	1	4	35	55	419	1	1	19	108	21	65	182	1	41	69
CD4_2	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	2	0	0	1	0	0	0	0	0	0	0	0	14	1	0	5	3	0	1	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0	0	2	0	1	6	0	1	0
CD4_3	0	0	3	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	3	7	0	0	3	1	0	0	3	1	0	0	0	5	0	0	4	3	0	0	0	0	0	0	2	0	0	0	0	6	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0
CD4_4	0	1	23	0	1	12	21	11	3	8	0	1	3	4	3	0	0	0	28	55	1	96	10	25	0	0	13	5	0	0	0	86	5	0	101	12	2	6	2	0	0	0	2	0	0	0	3	41	13	24	0	1	0	2	4	12	73	0	0	6	24	4	18	13	0	11	7
CD45_1	9	0	102	0	2	21	132	26	7	32	5	1	12	34	10	2	5	1	127	219	5	702	38	131	0	0	79	51	1	1	3	631	73	1	597	65	17	34	5	5	0	0	44	5	0	0	23	255	97	148	0	17	0	3	31	74	309	1	2	16	78	25	65	159	0	20	55
CD45_2	3	1	49	0	0	11	26	66	2	15	3	1	10	13	14	0	3	0	97	111	5	735	21	231	5	0	60	47	0	2	1	322	15	2	314	35	3	27	1	3	0	3	17	4	0	0	3	79	40	50	0	4	0	2	10	93	339	4	5	39	189	29	52	66	0	15	21
CD8_1	1	0	10	0	0	3	7	2	0	0	0	0	1	0	1	0	0	0	11	19	2	24	2	6	0	0	4	8	0	0	0	43	4	0	39	3	2	3	0	1	0	0	5	0	0	0	0	21	7	11	0	1	1	0	1	2	19	0	0	1	2	0	3	5	0	1	5
CD8_2	8	0	37	0	1	8	32	15	0	28	0	0	8	7	5	0	3	0	40	79	0	244	11	86	1	0	61	28	0	0	1	198	11	2	142	25	1	20	4	0	0	1	13	0	0	0	2	67	26	49	0	6	0	3	9	28	163	1	2	12	77	10	21	57	0	16	18
CD8_3	0	0	2	0	0	0	5	3	0	0	38	0	2	2	1	0	0	0	19	6	0	163	0	10	0	0	5	5	0	1	1	52	3	2	32	9	1	3	0	2	0	0	1	0	0	0	0	23	17	2	0	0	0	0	4	30	25	0	0	3	16	2	6	10	16	0	2
CD8_4	0	0	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0	0	4	2	0	11	0	2	0	0	1	2	0	0	0	6	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	1	1	0	0	0	2	1	1	0	0	0	1
CD8_5	1	0	10	0	1	3	12	10	1	8	2	3	4	5	3	0	0	0	44	30	1	274	17	88	3	0	36	19	0	0	0	114	10	0	99	14	1	12	1	1	1	0	8	3	0	0	0	20	7	18	0	0	0	0	4	35	150	1	3	15	75	14	13	27	0	4	7
CD8_6	0	0	27	2	0	4	34	13	0	7	2	0	5	2	3	0	0	0	20	33	0	248	3	56	0	0	31	8	0	0	0	170	16	0	146	12	7	4	0	0	1	0	6	2	0	0	2	42	28	22	0	7	0	1	7	31	84	0	0	10	36	7	18	33	0	8	9
DC1	2	0	18	0	0	3	10	14	1	5	1	0	3	3	18	0	4	0	35	47	2	122	23	52	0	0	31	38	0	0	1	146	13	0	57	20	0	17	0	2	0	1	9	0	0	0	3	65	12	19	0	4	0	0	5	7	117	2	0	1	36	3	14	43	0	4	20
DC2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	19	0	3	0	0	0	1	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	5	0	0	0	1	1	0	1	0	1	0
DC3	2	0	2	0	0	0	5	3	0	3	0	0	0	0	4	0	4	0	13	15	0	51	8	9	0	0	3	6	0	0	0	29	1	0	12	8	0	3	0	2	1	0	3	1	0	0	1	29	8	8	0	0	0	0	2	2	25	0	0	0	4	1	1	9	0	3	5
DC4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0	0	0	0	0	3	0	0	2	2	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0
E1	10	0	139	6	3	28	127	97	11	40	19	4	44	20	35	0	13	1	3926	872	25	3172	111	476	4	1	176	242	0	0	6	1643	60	1	1941	289	20	182	36	102	5	3	69	7	0	0	17	456	175	175	2	11	5	8	41	265	2010	2	20	114	372	304	174	305	2	28	69
E2	20	1	267	2	7	55	219	111	19	79	6	2	30	33	47	2	15	4	872	4788	111	1350	161	350	3	0	226	468	1	1	2	2136	104	2	1470	241	69	101	28	36	7	9	188	4	0	0	61	869	254	241	4	26	4	17	53	82	1351	7	15	19	303	47	393	481	2	59	88
E3	1	0	8	0	0	1	5	5	2	0	0	0	1	0	2	0	0	0	25	111	6	29	2	19	0	0	5	5	0	0	0	43	0	0	39	8	1	2	0	0	0	1	4	0	0	0	0	22	5	8	0	0	0	0	1	2	34	0	0	0	26	2	6	5	0	1	1
M1	51	0	543	0	0	96	702	735	24	244	163	11	274	248	122	19	51	2	3172	1350	29	111912	88	11027	16	1	2799	124	18	5	676	11112	145	93	14430	368	158	63	44	9	6	3	673	385	1	34	56	2505	6178	700	6	36	20	50	1356	14789	22094	28	361	5402	11488	3887	1045	2722	127	368	259
M10	6	0	49	1	3	10	38	21	2	11	0	0	17	3	23	0	8	0	111	161	2	88	136	42	1	0	64	168	0	0	0	416	17	0	147	54	2	81	3	5	1	4	34	0	0	0	15	265	19	58	0	5	0	1	22	14	272	2	0	0	55	4	70	154	1	10	27
M11	11	1	137	0	1	25	131	231	6	86	10	2	88	56	52	3	9	0	476	350	19	11027	42	4014	14	0	1307	71	1	23	26	1659	37	11	1597	81	13	41	9	8	0	3	62	17	1	1	16	257	468	151	0	12	0	26	128	1629	4350	24	68	989	3747	353	326	414	8	97	72
M12	0	0	5	0	0	0	0	5	0	1	0	0	3	0	0	0	0	0	4	3	0	16	1	14	0	0	9	6	0	0	0	60	1	0	5	2	0	0	2	0	0	0	0	0	0	0	1	6	0	2	0	0	0	1	1	3	34	3	0	2	9	1	5	13	0	0	1
