estimate	std_error	zvalue	pvalue	adj_pvalue	symbol
9.22070837246406	0.840100655667164	10.9757185764145	4.875980707017e-13	3.82276887430133e-10	NKG7
9.13437104935746	0.859117968792519	10.6322663256546	1.17750526358487e-12	4.61582063325271e-10	CCL5
7.22207017647515	0.753988371847329	9.5784901281442	1.93809628156425e-11	5.06489161582123e-09	IL2RB
8.03352448374872	0.912324686148211	8.80555421301363	1.65707706163308e-10	3.24787104080084e-08	GZMA
6.78759625582174	0.801195299901121	8.47183733686335	4.28371312945611e-10	6.71686218698718e-08	KLRK1
7.71088048273914	0.938767897490725	8.21383060003426	9.01011771442049e-10	1.00913318401509e-07	CD8A
5.42503229438854	0.657670334616457	8.24886270345817	8.1411405422258e-10	1.00913318401509e-07	CXCR6
7.84139458160713	0.987940055877013	7.93711575409925	2.01740842219613e-09	1.97706025375221e-07	GZMK
6.78777723608762	0.866214867255956	7.83613568950891	2.71312680112806e-09	2.363434902316e-07	PRF1
6.59944688103804	0.84763331425423	7.78573325288	3.14685899439478e-09	2.4671374516055e-07	GZMB
7.17177906189345	0.936576885615591	7.65743760287187	4.59570784435246e-09	3.17054754294731e-07	GZMH
5.94431698725225	0.77814971967065	7.63904019623392	4.8528788922663e-09	3.17054754294731e-07	NCR1
6.08993335480835	0.806906167921141	7.54726335838781	6.37074608628718e-09	3.84204994742242e-07	KLRD1
6.82265943707033	0.918538311863124	7.42773529307835	9.09224455092558e-09	4.84938147203449e-07	GNLY
6.72529908266617	0.906258759643071	7.42094794792927	9.27815332659659e-09	4.84938147203449e-07	SH2D1A
6.93850002936724	0.946921946513913	7.3274255126426	1.22681785779418e-08	6.01140750319148e-07	LAG3
6.39307248583011	0.888459672265608	7.19568111575342	1.82088508859109e-08	7.93096616364121e-07	CD45RB
6.608386372422	0.917180727828176	7.20510818851398	1.77005923308591e-08	7.93096616364121e-07	CTSW
6.31337303758592	0.888939767628087	7.10213815097009	2.41248695127559e-08	9.9546829989477e-07	CD48
4.95024154469914	0.706513588611345	7.00657655350814	3.21824762113482e-08	1.26155306748485e-06	HLA-B
6.18700939554511	0.895114602549263	6.91197459847563	4.28386585468525e-08	1.59930991908249e-06	IL2RG
6.60753211260143	0.979205939052115	6.74784725978849	7.04768772362907e-08	2.51153962514781e-06	ITGAL
6.7628989168515	1.00773336201787	6.71100032186048	7.88318893283186e-08	2.68713918406095e-06	PTPRC
6.33708836038313	0.949385641912916	6.67493595923205	8.7975685192519e-08	2.87387238295562e-06	CD7
6.42569601198338	0.966075638324897	6.65133842224306	9.45296768815058e-08	2.96445066700402e-06	CD74
5.03415704437232	0.762421022677951	6.60285707585842	1.09579444854552e-07	3.18186239873959e-06	CD96
6.15119827400337	0.930641887857315	6.60962971284876	1.07340151768393e-07	3.18186239873959e-06	CXCR3
4.09532260397618	0.622135083879268	6.58269033541745	1.16529785497979e-07	3.26283399394342e-06	PSMB9
5.8070433669542	0.883932999579601	6.56955150414798	1.21295086780645e-07	3.27914993227674e-06	CD247
5.94668722500807	0.907260821362789	6.55455089097268	1.26975958044064e-07	3.31830503688489e-06	CD244
5.63398768763473	0.862128479721603	6.53497456603458	1.34794485756167e-07	3.40899602686564e-06	HLA-DMA
4.21324470203846	0.657986835883354	6.40323555467814	2.01628401550948e-07	4.93989583799823e-06	TLR2
6.28673859791488	0.988988340379599	6.35673682007401	2.32472842500155e-07	5.36055025059181e-06	HLA-DRB1
6.86997980037687	1.07916381281064	6.36602128316763	2.25956448083228e-07	5.36055025059181e-06	IRF8
4.77422596379456	0.755068070010901	6.32290803096155	2.57855579185265e-07	5.77596497374993e-06	LCK
3.14131338968217	0.497747964364751	6.31105220830236	2.67395729427706e-07	5.82328477420338e-06	HLA-E
5.38268272506677	0.859922174005509	6.25949985682342	3.13179154780352e-07	6.54621327395791e-06	CD2
6.45235693907776	1.03151116464292	6.25524682644747	3.17290949503062e-07	6.54621327395791e-06	CLEC4E
6.666545928401	1.07863030022275	6.18056615600755	3.99006887910479e-07	8.02106154158501e-06	LILRB2
5.60934790291849	0.913470593956239	6.14069893440622	4.50968828856091e-07	8.83898904557939e-06	ZAP70
7.52707705513142	1.23139880841368	6.11262330587113	4.91588693651556e-07	9.40013502006878e-06	ITGB2
5.70837809648887	0.944297605987993	6.04510491214933	6.04952432474046e-07	1.07791524331739e-05	CD3E
6.24428158384152	1.03200028561176	6.05065877490525	5.9471117321137e-07	1.07791524331739e-05	CD45R0
6.90651597821128	1.14061419921046	6.05508504364753	5.86673835395017e-07	1.07791524331739e-05	LY9
3.61784275601622	0.60095103397709	6.02019557579152	6.53104797058595e-07	1.13785369087542e-05	HLA-F
6.8029249644469	1.13216245955396	6.00878867431009	6.76420776012379e-07	1.15285627911675e-05	CYBB
5.36943775534711	0.907563730287376	5.9163203377981	8.98994559778381e-07	1.49959943588564e-05	CD27
4.27779921806532	0.72623289350187	5.89039584455878	9.73656697146309e-07	1.55785071543409e-05	B2M
