N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	176542	176	878	1484	46784	166	4425	2644	14292	2030	235	44612	18
B	176	40	31	108	482	3	126	59	269	68	5	302	3
CD8	878	31	198	255	3684	13	479	251	1655	304	80	1951	3
CD4	1484	108	255	706	4071	30	870	448	2539	625	156	1922	10
M	46784	482	3684	4071	305634	596	11622	6026	54586	6197	1503	156779	113
DC	166	3	13	30	596	28	89	33	204	34	12	562	2
Endo	4425	126	479	870	11622	89	6624	899	6857	1054	171	8049	7
CD45+	2644	59	251	448	6026	33	899	570	2889	594	96	3066	4
Mo	14292	269	1655	2539	54586	204	6857	2889	34114	4011	763	22553	49
NK	2030	68	304	625	6197	34	1054	594	4011	1206	173	2613	7
Treg	235	5	80	156	1503	12	171	96	763	173	92	697	9
Tumor	44612	302	1951	1922	156779	562	8049	3066	22553	2613	697	211830	76
S	18	3	3	10	113	2	7	4	49	7	9	76	2
