N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	25162	770	594	563	19028	153	2344	833	4797	571	342	15995	55
B	770	43212	2543	4353	6074	56	558	4188	5857	1081	1018	3660	150
CD8	594	2543	1334	1524	6005	59	662	1215	3662	560	450	3011	29
CD4	563	4353	1524	3330	5742	67	763	1708	4678	563	618	3092	36
M	19028	6074	6005	5742	410202	1905	19448	11764	43265	4318	4427	238248	407
DC	153	56	59	67	1905	116	304	135	423	55	64	1629	0
Endo	2344	558	662	763	19448	304	14040	1033	5800	580	488	18615	51
CD45+	833	4188	1215	1708	11764	135	1033	3122	6163	850	724	7151	38
Mo	4797	5857	3662	4678	43265	423	5800	6163	33400	2764	2133	20057	117
NK	571	1081	560	563	4318	55	580	850	2764	860	346	2250	20
Treg	342	1018	450	618	4427	64	488	724	2133	346	514	2371	14
Tumor	15995	3660	3011	3092	238248	1629	18615	7151	20057	2250	2371	305734	228
S	55	150	29	36	407	0	51	38	117	20	14	228	28
