N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	14472	21	183	208	11390	62	1208	333	6027	1129	119	8010	71
B	21	14	8	16	157	2	41	13	168	45	5	94	3
CD8	183	8	62	64	903	8	169	83	925	203	28	455	8
CD4	208	16	64	116	856	12	190	70	1139	247	42	450	6
M	11390	157	903	856	106532	268	3861	1443	26388	3186	451	36949	173
DC	62	2	8	12	268	12	63	15	183	27	2	151	0
Endo	1208	41	169	190	3861	63	5020	232	5718	749	84	2152	34
CD45+	333	13	83	70	1443	15	232	146	1691	280	40	923	19
Mo	6027	168	925	1139	26388	183	5718	1691	37756	4162	582	14063	144
NK	1129	45	203	247	3186	27	749	280	4162	1176	120	1781	51
Treg	119	5	28	42	451	2	84	40	582	120	54	204	3
Tumor	8010	94	455	450	36949	151	2152	923	14063	1781	204	37856	114
S	71	3	8	6	173	0	34	19	144	51	3	114	40
