N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	24914	200	1379	1521	22184	63	2122	1147	25550	2004	520	5916	17
B	200	398	114	135	1302	5	127	180	1134	114	70	454	5
CD8	1379	114	946	670	6091	21	550	551	6768	635	226	2002	5
CD4	1521	135	670	924	6402	20	672	548	7210	635	300	1947	7
M	22184	1302	6091	6402	161634	249	5077	5531	83242	6330	2537	34450	25
DC	63	5	21	20	249	6	25	19	222	18	6	80	0
Endo	2122	127	550	672	5077	25	3444	485	8592	657	245	2059	3
CD45+	1147	180	551	548	5531	19	485	632	6140	573	212	1577	3
Mo	25550	1134	6768	7210	83242	222	8592	6140	128334	6625	2687	23685	31
NK	2004	114	635	635	6330	18	657	573	6625	1036	249	1871	3
Treg	520	70	226	300	2537	6	245	212	2687	249	188	660	1
Tumor	5916	454	2002	1947	34450	80	2059	1577	23685	1871	660	12582	3
S	17	5	5	7	25	0	3	3	31	3	1	3	0
