N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	27340	52	460	780	18610	140	2880	793	12061	1325	342	6957	49
B	52	4	10	12	176	3	32	10	80	19	2	51	0
CD8	460	10	96	80	1386	14	254	87	888	122	33	389	1
CD4	780	12	80	248	2191	29	415	128	1606	224	89	640	1
M	18610	176	1386	2191	112408	582	7385	2678	33430	3731	1028	30985	87
DC	140	3	14	29	582	34	63	29	267	36	13	228	1
Endo	2880	32	254	415	7385	63	5206	432	5898	647	177	2775	17
CD45+	793	10	87	128	2678	29	432	204	1725	264	49	754	6
Mo	12061	80	888	1606	33430	267	5898	1725	33004	2429	657	10115	69
NK	1325	19	122	224	3731	36	647	264	2429	592	90	1184	6
Treg	342	2	33	89	1028	13	177	49	657	90	68	261	3
Tumor	6957	51	389	640	30985	228	2775	754	10115	1184	261	17582	23
S	49	0	1	1	87	1	17	6	69	6	3	23	60
