N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	16332	54	238	369	9438	72	911	453	6092	880	115	5773	75
B	54	412	150	297	373	12	88	189	394	29	28	403	3
CD8	238	150	282	411	1272	22	202	249	1124	146	58	873	3
CD4	369	297	411	986	1576	26	398	359	1704	261	113	1128	2
M	9438	373	1272	1576	80234	464	3131	2209	21368	2142	445	34563	548
DC	72	12	22	26	464	44	70	51	223	32	10	296	1
Endo	911	88	202	398	3131	70	3554	373	3387	436	77	2676	11
CD45+	453	189	249	359	2209	51	373	546	2446	263	52	1410	4
Mo	6092	394	1124	1704	21368	223	3387	2446	33010	2340	408	12032	63
NK	880	29	146	261	2142	32	436	263	2340	618	73	1300	9
Treg	115	28	58	113	445	10	77	52	408	73	44	270	4
Tumor	5773	403	873	1128	34563	296	2676	1410	12032	1300	270	57360	474
S	75	3	3	2	548	1	11	4	63	9	4	474	148
