N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	27098	49	231	512	11999	52	1024	569	5385	870	181	10935	9
B	49	10	9	14	184	8	41	16	165	17	8	89	0
CD8	231	9	136	156	1165	14	209	180	1195	208	57	688	2
CD4	512	14	156	298	2111	21	351	266	2146	349	120	1068	3
M	11999	184	1165	2111	108956	322	3800	3023	31659	3682	907	46433	41
DC	52	8	14	21	322	32	36	32	115	31	14	209	0
Endo	1024	41	209	351	3800	36	3286	457	4390	600	127	2321	2
CD45+	569	16	180	266	3023	32	457	494	3071	437	109	1518	2
Mo	5385	165	1195	2146	31659	115	4390	3071	53520	3927	916	13992	18
NK	870	17	208	349	3682	31	600	437	3927	1060	166	1808	3
Treg	181	8	57	120	907	14	127	109	916	166	92	377	0
Tumor	10935	89	688	1068	46433	209	2321	1518	13992	1808	377	79704	20
S	9	0	2	3	41	0	2	2	18	3	0	20	2
