N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	18816	42	305	494	16848	134	2131	567	4218	640	358	11955	7
B	42	32	10	13	179	4	32	13	69	27	19	119	0
CD8	305	10	128	109	2091	16	310	135	597	118	71	1098	1
CD4	494	13	109	264	1948	23	516	185	951	177	130	1087	1
M	16848	179	2091	1948	207982	565	10799	3152	25065	2106	1645	101828	27
DC	134	4	16	23	565	30	119	35	131	34	33	284	0
Endo	2131	32	310	516	10799	119	10736	564	4590	467	246	6463	9
CD45+	567	13	135	185	3152	35	564	250	1109	219	111	1591	0
Mo	4218	69	597	951	25065	131	4590	1109	13900	1077	576	10933	7
NK	640	27	118	177	2106	34	467	219	1077	320	122	1093	2
Treg	358	19	71	130	1645	33	246	111	576	122	144	818	3
Tumor	11955	119	1098	1087	101828	284	6463	1591	10933	1093	818	75634	17
S	7	0	1	1	27	0	9	0	7	2	3	17	2
