N	B	CD8	CD4	M	DC	Endo	Mo	Lymp_Ves	NK	Treg	S	Tumor
N	490	0	257	60	5	3	149	35	5	16	33	3	833
B	0	7354	196	226	3	0	231	20	7	8	165	14	438
CD8	257	196	113642	15709	105	228	11367	207	856	255	4452	199	124050
CD4	60	226	15709	9998	92	80	3390	143	549	128	1681	98	18818
M	5	3	105	92	162	1	244	33	12	18	26	34	781
DC	3	0	228	80	1	122	75	0	21	2	27	0	1437
Endo	149	231	11367	3390	244	75	34332	246	858	266	1911	385	19992
Mo	35	20	207	143	33	0	246	278	20	35	34	24	851
Lymp_Ves	5	7	856	549	12	21	858	20	19844	13	853	38	5532
NK	16	8	255	128	18	2	266	35	13	196	55	21	1289
Treg	33	165	4452	1681	26	27	1911	34	853	55	2532	47	7908
S	3	14	199	98	34	0	385	24	38	21	47	892	549
Tumor	833	438	124050	18818	781	1437	19992	851	5532	1289	7908	549	645154
