N	B	CD8	CD4	M	DC	Endo	Mo	Lymp_Ves	NK	Treg	S	Tumor
N	466	0	10	6	18	1	23	124	0	4	7	0	725
B	0	56	7	5	1	0	53	1	0	0	5	1	158
CD8	10	7	2612	553	32	47	2323	253	31	109	635	15	22382
CD4	6	5	553	2074	53	34	1798	232	52	72	921	13	8812
M	18	1	32	53	616	1	750	136	2	15	48	4	1210
DC	1	0	47	34	1	106	52	31	4	1	35	0	707
Endo	23	53	2323	1798	750	52	37538	616	61	311	2085	126	28475
Mo	124	1	253	232	136	31	616	954	10	52	249	0	6616
Lymp_Ves	0	0	31	52	2	4	61	10	228	4	15	1	353
NK	4	0	109	72	15	1	311	52	4	650	70	1	2777
Treg	7	5	635	921	48	35	2085	249	15	70	1650	20	9821
S	0	1	15	13	4	0	126	0	1	1	20	246	207
Tumor	725	158	22382	8812	1210	707	28475	6616	353	2777	9821	207	1227084
