N	B	CD8	CD4	M	DC	Endo	Mo	Lymp_Ves	NK	Treg	S	Tumor
N	46	0	0	0	6	0	0	3	0	0	0	0	30
B	0	0	0	0	0	0	0	0	0	0	0	0	4
CD8	0	0	966	276	305	71	371	32	1	21	92	0	3807
CD4	0	0	276	664	459	38	306	31	0	12	119	0	2606
M	6	0	305	459	5386	99	35	106	0	86	122	0	1953
DC	0	0	71	38	99	114	135	8	0	6	26	0	828
Endo	0	0	371	306	35	135	4168	54	0	7	205	0	2156
Mo	3	0	32	31	106	8	54	14	0	4	4	0	279
Lymp_Ves	0	0	1	0	0	0	0	0	0	4	0	0	6
NK	0	0	21	12	86	6	7	4	4	116	4	0	184
Treg	0	0	92	119	122	26	205	4	0	4	220	0	762
S	0	0	0	0	0	0	0	0	0	0	0	0	0
Tumor	30	4	3807	2606	1953	828	2156	279	6	184	762	0	67970
