N	B	CD8	CD4	M	DC	Endo	Mo	Lymp_Ves	NK	Treg	S	Tumor
N	1210	0	54	29	3	1	116	6	0	9	31	1	2116
B	0	14	14	20	1	3	34	0	0	0	9	2	86
CD8	54	14	3840	917	20	20	2672	50	33	87	749	30	20033
CD4	29	20	917	3390	57	12	3348	58	153	57	1247	167	11154
M	3	1	20	57	64	0	250	10	2	4	15	24	506
DC	1	3	20	12	0	4	44	0	18	0	13	1	170
Endo	116	34	2672	3348	250	44	38824	252	130	227	3348	467	32096
Mo	6	0	50	58	10	0	252	212	0	10	48	6	572
Lymp_Ves	0	0	33	153	2	18	130	0	1252	0	75	19	199
NK	9	0	87	57	4	0	227	10	0	252	44	10	1622
Treg	31	9	749	1247	15	13	3348	48	75	44	3858	27	9352
S	1	2	30	167	24	1	467	6	19	10	27	864	820
Tumor	2116	86	20033	11154	506	170	32096	572	199	1622	9352	820	728768
