N	B	CD8	CD4	M	DC	Endo	Mo	Lymp_Ves	NK	Treg	S	Tumor
N	222	1	60	126	9	0	60	45	0	29	4	0	874
B	1	140	81	290	27	0	88	24	0	3	27	2	524
CD8	60	81	9510	10825	328	59	5886	1179	2	353	980	2	47620
CD4	126	290	10825	73272	1091	125	15982	3404	12	568	2842	23	82001
M	9	27	328	1091	5104	2	495	814	1	127	45	20	3742
DC	0	0	59	125	2	6	109	10	0	6	20	0	447
Endo	60	88	5886	15982	495	109	33554	1279	11	445	1115	11	37430
Mo	45	24	1179	3404	814	10	1279	3178	0	230	153	2	7143
Lymp_Ves	0	0	2	12	1	0	11	0	2	0	0	0	30
NK	29	3	353	568	127	6	445	230	0	216	64	1	3126
Treg	4	27	980	2842	45	20	1115	153	0	64	622	1	6457
S	0	2	2	23	20	0	11	2	0	1	1	20	120
Tumor	874	524	47620	82001	3742	447	37430	7143	30	3126	6457	120	866264
