N	B	CD8	CD4	M	DC	Endo	Mo	Lymp_Ves	NK	Treg	S	Tumor
N	148	0	13	18	78	0	37	33	0	7	10	0	456
B	0	4	1	0	0	0	22	0	0	0	3	0	34
CD8	13	1	3320	655	303	134	2106	275	2	121	775	22	18910
CD4	18	0	655	1684	523	55	1739	313	7	75	801	36	8177
M	78	0	303	523	5070	24	2766	1030	11	168	449	139	5918
DC	0	0	134	55	24	192	131	41	0	0	101	1	1302
Endo	37	22	2106	1739	2766	131	57160	1753	5	390	1755	1553	22319
Mo	33	0	275	313	1030	41	1753	838	2	78	236	89	4420
Lymp_Ves	0	0	2	7	11	0	5	2	12	0	9	6	85
NK	7	0	121	75	168	0	390	78	0	184	89	13	1898
Treg	10	3	775	801	449	101	1755	236	9	89	1994	24	8657
S	0	0	22	36	139	1	1553	89	6	13	24	1364	489
Tumor	456	34	18910	8177	5918	1302	22319	4420	85	1898	8657	489	775294
