N	B	CD8	CD4	M	DC	Endo	Mo	Lymp_Ves	NK	Treg	S	Tumor
N	274	0	58	149	20	1	165	12	0	14	15	11	1733
B	0	320	91	381	0	2	78	5	10	3	149	5	698
CD8	58	91	13082	9061	105	76	6524	70	151	227	2469	69	46649
CD4	149	381	9061	47160	225	71	10518	173	225	282	4584	295	59674
M	20	0	105	225	3158	4	260	21	3	46	54	60	2429
DC	1	2	76	71	4	612	143	0	6	2	170	8	1671
Endo	165	78	6524	10518	260	143	68000	169	78	363	5259	1810	45802
Mo	12	5	70	173	21	0	169	178	1	132	38	18	895
Lymp_Ves	0	10	151	225	3	6	78	1	1810	3	35	6	1256
NK	14	3	227	282	46	2	363	132	3	556	90	52	2625
Treg	15	149	2469	4584	54	170	5259	38	35	90	5622	217	17336
S	11	5	69	295	60	8	1810	18	6	52	217	3906	1682
Tumor	1733	698	46649	59674	2429	1671	45802	895	1256	2625	17336	1682	1027554
