N	B	CD8	CD4	M	DC	Endo	Mo	Lymp_Ves	NK	Treg	S	Tumor
N	148	0	10	7	6	0	5	6	0	1	3	0	384
B	0	56	3	1	0	0	24	0	0	2	6	0	51
CD8	10	3	1442	242	24	142	1607	10	2	23	358	0	7730
CD4	7	1	242	564	21	51	810	7	10	24	414	0	2605
M	6	0	24	21	82	3	23	8	0	4	19	0	432
DC	0	0	142	51	3	260	716	3	1	3	98	0	1420
Endo	5	24	1607	810	23	716	15672	12	6	91	2198	11	9575
Mo	6	0	10	7	8	3	12	12	0	2	6	0	224
Lymp_Ves	0	0	2	10	0	1	6	0	2	1	9	0	25
NK	1	2	23	24	4	3	91	2	1	40	23	0	523
Treg	3	6	358	414	19	98	2198	6	9	23	2178	2	3789
S	0	0	0	0	0	0	11	0	0	0	2	16	3
Tumor	384	51	7730	2605	432	1420	9575	224	25	523	3789	3	210314
