N	B	CD8	CD4	M	DC	Endo	Mo	Lymp_Ves	NK	Treg	S	Tumor
N	114	0	8	7	0	0	36	1	0	4	8	2	218
B	0	16	0	3	0	0	25	1	0	3	3	0	69
CD8	8	0	13262	1119	6	226	4495	62	163	471	1301	18	43233
CD4	7	3	1119	1740	17	41	1384	29	75	162	878	25	9251
M	0	0	6	17	86	1	54	17	0	9	11	22	295
DC	0	0	226	41	1	164	177	1	38	19	58	0	2729
Endo	36	25	4495	1384	54	177	29442	57	124	500	2551	56	28499
Mo	1	1	62	29	17	1	57	216	0	78	9	3	843
Lymp_Ves	0	0	163	75	0	38	124	0	2344	10	251	3	1173
NK	4	3	471	162	9	19	500	78	10	656	134	15	6682
Treg	8	3	1301	878	11	58	2551	9	251	134	2620	40	10804
S	2	0	18	25	22	0	56	3	3	15	40	526	301
Tumor	218	69	43233	9251	295	2729	28499	843	1173	6682	10804	301	900264
