N	B	CD8	CD4	M	DC	Endo	Mo	Lymp_Ves	NK	Treg	S	Tumor
N	11614	12	476	982	716	0	1064	1235	1	204	26	3	16629
B	12	98	12	26	4	0	55	17	0	9	4	0	145
CD8	476	12	3150	1621	552	8	2486	1224	8	316	265	14	18092
CD4	982	26	1621	5806	1377	1	3454	2292	15	495	458	32	15437
M	716	4	552	1377	2348	0	1094	2072	3	155	133	15	8817
DC	0	0	8	1	0	0	5	9	0	0	0	0	57
Endo	1064	55	2486	3454	1094	5	33532	2611	7	673	573	61	23981
Mo	1235	17	1224	2292	2072	9	2611	5718	7	332	376	14	20555
Lymp_Ves	1	0	8	15	3	0	7	7	40	2	4	0	167
NK	204	9	316	495	155	0	673	332	2	600	75	6	4845
Treg	26	4	265	458	133	0	573	376	4	75	398	2	3576
S	3	0	14	32	15	0	61	14	0	6	2	130	128
Tumor	16629	145	18092	15437	8817	57	23981	20555	167	4845	3576	128	960880
