B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	0	0	0	0	0	NA	0	0	0	0	0	0	0	4
Blood_vessels	0	4168	306	371	135	NA	0	35	0	6	48	7	205	2156
CD4T	0	306	664	276	38	NA	0	459	0	2	29	12	119	2606
CD8T	0	371	276	966	71	NA	1	305	0	2	30	21	92	3807
DC	0	135	38	71	114	NA	0	99	0	0	8	6	26	828
Fap	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lymphatic_vessels	0	0	0	1	0	NA	0	0	0	0	0	4	0	6
MA	0	35	459	305	99	NA	0	5386	6	2	104	86	122	1953
MDSC_G	0	0	0	0	0	NA	0	6	46	0	3	0	0	30
MDSC_M	0	6	2	2	0	NA	0	2	0	0	0	0	0	5
MO	0	48	29	30	8	NA	0	104	3	0	14	4	4	274
NK	0	7	12	21	6	NA	4	86	0	0	4	116	4	184
Treg	0	205	119	92	26	NA	0	122	0	0	4	4	220	762
Tumor	4	2156	2606	3807	828	NA	6	1953	30	5	274	184	762	67970
