B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	16	19	2	0	0	0	0	0	0	0	0	3	1	55
Blood_vessels	19	21036	950	3297	148	14	124	28	27	6	23	442	1150	21496
CD4T	2	950	1410	816	31	5	69	10	5	1	3	98	631	7305
CD8T	0	3297	816	10498	151	2	162	5	4	5	14	306	717	33796
DC	0	148	31	151	102	0	38	1	0	0	0	14	39	1931
Fap	0	14	5	2	0	78	3	0	0	0	0	0	18	83
Lymphatic_vessels	0	124	69	162	38	3	2334	0	0	0	0	9	251	1139
MA	0	28	10	5	1	0	0	12	0	0	3	2	11	79
MDSC_G	0	27	5	4	0	0	0	0	112	0	0	3	4	174
MDSC_M	0	6	1	5	0	0	0	0	0	2	0	4	0	49
MO	0	23	3	14	0	0	0	3	0	0	0	2	4	227
NK	3	442	98	306	14	0	9	2	3	4	2	358	97	5561
Treg	1	1150	631	717	39	18	251	11	4	0	4	97	1518	7037
Tumor	55	21496	7305	33796	1931	83	1139	79	174	49	227	5561	7037	783688
