B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	0	6	1	0	0	0	0	0	0	1	0	0	2	14
Blood_vessels	6	8406	434	1198	29	42	0	26	9	28	0	58	1401	7003
CD4T	1	434	330	303	10	20	6	7	2	25	0	64	247	1946
CD8T	0	1198	303	2764	75	16	1	1	4	41	2	165	584	9437
DC	0	29	10	75	62	0	0	0	0	0	1	5	19	798
Fap	0	42	20	16	0	448	0	22	2	3	0	15	22	218
Lymphatic_vessels	0	0	6	1	0	0	10	0	0	0	0	1	0	34
MA	0	26	7	1	0	22	0	74	0	14	0	7	0	216
MDSC_G	0	9	2	4	0	2	0	0	2	0	1	1	4	44
MDSC_M	1	28	25	41	0	3	0	14	0	210	2	65	4	500
MO	0	0	0	2	1	0	0	0	1	2	0	7	1	67
NK	0	58	64	165	5	15	1	7	1	65	7	298	37	1121
Treg	2	1401	247	584	19	22	0	0	4	4	1	37	1102	3767
Tumor	14	7003	1946	9437	798	218	34	216	44	500	67	1121	3767	116576
